title,summary,primary_tag,tags,n_tags,primary_category,categories,author,authors,n_authors,url_pdf,url_href,date
PILS: Exploring high-order neighborhoods by pattern mining and injection,"We introduce pattern injection local search (PILS), an optimization strategy
that uses pattern mining to explore high-order local-search neighborhoods, and
illustrate its application on the vehicle routing problem. PILS operates by
storing a limited number of frequent patterns from elite solutions. During the
local search, each pattern is used to define one move in which 1) incompatible
edges are disconnected, 2) the edges defined by the pattern are reconnected,
and 3) the remaining solution fragments are optimally reconnected. Each such
move is accepted only in case of solution improvement. As visible in our
experiments, this strategy results in a new paradigm of local search, which
complements and enhances classical search approaches in a controllable amount
of computational time. We demonstrate that PILS identifies useful high-order
moves (e.g., 9-opt and 10-opt) which would otherwise not be found by
enumeration, and that it significantly improves the performance of
state-of-the-art population-based and neighborhood-centered metaheuristics.",cs.AI,cs.AI,1,Artificial Intelligence,Artificial Intelligence,Thibaut Vidal,"Florian Arnold, Ítalo Santana, Kenneth Sörensen, Thibaut Vidal",4,http://arxiv.org/pdf/1912.11462v1,http://arxiv.org/abs/1912.11462v1,2019-12-24
Bidding in Spades,"We present a Spades bidding algorithm that is superior to recreational human
players and to publicly available bots. Like in Bridge, the game of Spades is
composed of two independent phases, \textit{bidding} and \textit{playing}. This
paper focuses on the bidding algorithm, since this phase holds a precise
challenge: based on the input, choose the bid that maximizes the agent's
winning probability. Our \emph{Bidding-in-Spades} (BIS) algorithm heuristically
determines the bidding strategy by comparing the expected utility of each
possible bid. A major challenge is how to estimate these expected utilities. To
this end, we propose a set of domain-specific heuristics, and then correct them
via machine learning using data from real-world players. The \BIS algorithm we
present can be attached to any playing algorithm. It beats rule-based bidding
bots when all use the same playing component. When combined with a rule-based
playing algorithm, it is superior to the average recreational human.",cs.AI,"I.2.1, cs.AI",2,Artificial Intelligence,Artificial Intelligence,Nadav Oved,"Gal Cohensius, Reshef Meir, Roni Stern, Nadav Oved",4,http://arxiv.org/pdf/1912.11323v1,http://arxiv.org/abs/1912.11323v1,2019-12-24
ADD-Lib: Decision Diagrams in Practice,"In the paper, we present the ADD-Lib, our efficient and easy to use framework
for Algebraic Decision Diagrams (ADDs). The focus of the ADD-Lib is not so much
on its efficient implementation of individual operations, which are taken by
other established ADD frameworks, but its ease and flexibility, which arise at
two levels: the level of individual ADD-tools, which come with a dedicated
user-friendly web-based graphical user interface, and at the meta level, where
such tools are specified. Both levels are described in the paper: the meta
level by explaining how we can construct an ADD-tool tailored for Random Forest
refinement and evaluation, and the accordingly generated Web-based
domain-specific tool, which we also provide as an artifact for cooperative
experimentation. In particular, the artifact allows readers to combine a given
Random Forest with their own ADDs regarded as expert knowledge and to
experience the corresponding effect.",cs.SE,"cs.PL, cs.LG, cs.AI, cs.SE",4,Software Engineering,"Programming Languages, Machine Learning, Artificial Intelligence, Software Engineering",Bernhard Steffen,"Frederik Gossen, Alnis Murtovi, Philip Zweihoff, Bernhard Steffen",4,http://arxiv.org/pdf/1912.11308v1,http://arxiv.org/abs/1912.11308v1,2019-12-24
"Stochastic Fairness and Language-Theoretic Fairness in Planning on
  Nondeterministic Domains","We address two central notions of fairness in the literature of planning on
nondeterministic fully observable domains. The first, which we call stochastic
fairness, is classical, and assumes an environment which operates
probabilistically using possibly unknown probabilities. The second, which is
language-theoretic, assumes that if an action is taken from a given state
infinitely often then all its possible outcomes should appear infinitely often
(we call this state-action fairness). While the two notions coincide for
standard reachability goals, they diverge for temporally extended goals. This
important difference has been overlooked in the planning literature, and we
argue has led to confusion in a number of published algorithms which use
reductions that were stated for state-action fairness, for which they are
incorrect, while being correct for stochastic fairness. We remedy this and
provide an optimal sound and complete algorithm for solving state-action fair
planning for LTL/LTLf goals, as well as a correct proof of the lower bound of
the goal-complexity (our proof is general enough that it provides new proofs
also for the no-fairness and stochastic-fairness cases). Overall, we show that
stochastic fairness is better behaved than state-action fairness.",cs.AI,"cs.FL, cs.AI",2,Artificial Intelligence,"Formal Languages and Automata Theory, Artificial Intelligence",Sasha Rubin,"Benjamin Aminof, Giuseppe De Giacomo, Sasha Rubin",3,http://arxiv.org/pdf/1912.11203v1,http://arxiv.org/abs/1912.11203v1,2019-12-24
"Evolution of the accretion disk-corona during bright hard-to-soft state
  transition: A reflection spectroscopic study with GX 339-4","We present the analysis of several observations of the black hole binary GX
339--4 during its bright intermediate states from two different outbursts (2002
and 2004), as observed by RXTE/PCA. We perform a consistent study of its
reflection spectrum by employing the relxill family of relativistic reflection
models to probe the evolutionary properties of the accretion disk including the
inner disk radius ($R_{\rm in}$), ionization parameter ($\xi$), temperatures of
the inner disk ($T_{\rm in}$), corona ($kT_{\rm e}$), and its optical depth
($\tau$). Our analysis indicates that the disk inner edge approaches the
inner-most stable circular orbit (ISCO) during the early onset of bright hard
state, and that the truncation radius of the disk remains low ($< 9 R_{\rm g}$)
throughout the transition from hard to soft state. This suggests that the
changes observed in the accretion disk properties during the state transition
are driven by variation in accretion rate, and not necessarily due to changes
in the inner disk's radius. We compare the aforementioned disk properties in
two different outbursts, with state transitions occurring at dissimilar
luminosities, and find identical evolutionary trends in the disk properties,
with differences only seen in corona's $kT_{\rm e}$ and $\tau$. We also perform
an analysis by employing a self-consistent Comptonized accretion disk model
accounting for the scatter of disk photons by the corona, and measure low inner
disk truncation radius across the bright intermediate states, using the
temperature dependent values of spectral hardening factor, thereby
independently confirming our results from the reflection spectrum analysis.",astro-ph.HE,"hep-ex, physics.plasm-ph, gr-qc, physics.data-an, astro-ph.HE",5,High Energy Astrophysical Phenomena,"High Energy Physics - Experiment, Plasma Physics, General Relativity and Quantum Cosmology, Data Analysis, Statistics and Probability, High Energy Astrophysical Phenomena",Fiona A. Harrison,"Navin Sridhar, Javier A. García, James F. Steiner, Riley M. T. Connors, Victoria Grinberg, Fiona A. Harrison",6,http://arxiv.org/pdf/1912.11447v1,http://arxiv.org/abs/1912.11447v1,2019-12-24
"Continuous-variable quantum cryptography with discrete alphabets:
  Composable security under collective Gaussian attacks","We consider continuous-variable quantum key distribution with
discrete-alphabet encodings. In particular, we study protocols where
information is encoded in the phase of displaced coherent (or thermal) states,
even though the results can be directly extended to any protocol based on
finite constellations of displaced Gaussian states. In this setting, we provide
a composable security analysis in the finite-size regime assuming the realistic
but restrictive hypothesis of collective Gaussian attacks. Under this
assumption, we can efficiently estimate the parameters of the channel via
maximum likelihood estimators and bound the corresponding error in the final
secret key rate.",quant-ph,"physics.optics, quant-ph, physics.data-an",3,Quantum Physics,"Optics, Quantum Physics, Data Analysis, Statistics and Probability",Stefano Pirandola,"Panagiotis Papanastasiou, Stefano Pirandola",2,http://arxiv.org/pdf/1912.11418v1,http://arxiv.org/abs/1912.11418v1,2019-12-24
Device-independent Randomness Expansion with Entangled Photons,"With the growing availability of experimental loophole-free Bell tests, it
has become possible to implement a new class of device-independent random
number generators whose output can be certified to be uniformly random without
requiring a detailed model of the quantum devices used. However, all of these
experiments require many input bits in order to certify a small number of
output bits, and it is an outstanding challenge to develop a system that
generates more randomness than is used. Here, we devise a device-independent
spot-checking protocol which uses only uniform bits as input. Implemented with
a photonic loophole-free Bell test, we can produce 24% more certified output
bits (1,181,264,237) than consumed input bits (953,301,640), which is 5 orders
of magnitude more efficient than our previous work [arXiv:1812.07786]. The
experiment ran for 91.0 hours, creating randomness at an average rate of 3606
bits/s with a soundness error bounded by $5.7\times 10^{-7}$ in the presence of
classical side information. Our system will allow for greater trust in public
sources of randomness, such as randomness beacons, and the protocols may one
day enable high-quality sources of private randomness as the device footprint
shrinks.",quant-ph,"quant-ph, physics.data-an",2,Quantum Physics,"Quantum Physics, Data Analysis, Statistics and Probability",Emanuel Knill,"Lynden K. Shalm, Yanbao Zhang, Joshua C. Bienfang, Collin Schlager, Martin J. Stevens, Michael D. Mazurek, Carlos Abellán, Waldimar Amaya, Morgan W. Mitchell, Mohammad A. Alhejji, Honghao Fu, Joel Ornstein, Richard P. Mirin, Sae Woo Nam, Emanuel Knill",15,http://arxiv.org/pdf/1912.11158v1,http://arxiv.org/abs/1912.11158v1,2019-12-24
"TF3P: Three-dimensional Force Fields Fingerprint Learned by Deep
  Capsular Network","Molecular fingerprints are the workhorse in ligand-based drug discovery. In
recent years, increasing number of research papers reported fascinating results
on using deep neural networks to learn 2D molecular representations as
fingerprints. One may anticipate that the integration of deep learning would
also contribute to the prosperity of 3D fingerprints. Here, we presented a new
3D small molecule fingerprint, the three-dimensional force fields fingerprint
(TF3P), learned by deep capsular network whose training is in no need of
labeled dataset for specific predictive tasks. TF3P can encode the 3D force
fields information of molecules and demonstrates its stronger ability to
capture 3D structural changes, recognize molecules alike in 3D but not in 2D,
and recognize similar targets inaccessible by other fingerprints, including the
solely existing 3D fingerprint E3FP, based on only ligands similarity.
Furthermore, TF3P is compatible with both statistical models (e.g. similarity
ensemble approach) and machine learning models. Altogether, we report TF3P as a
new 3D small molecule fingerprint with promising future in ligand-based drug
discovery.",q-bio.QM,"q-bio.BM, cs.LG, q-bio.QM",3,Quantitative Methods,"Biomolecules, Machine Learning, Quantitative Methods",Zhenming Liu,"Yanxing Wang, Jianxing Hu, Junyong Lai, Yibo Li, Hongwei Jin, Lihe Zhang, Liangren Zhang, Zhenming Liu",8,http://arxiv.org/pdf/1912.11430v1,http://arxiv.org/abs/1912.11430v1,2019-12-24
"The Dynamics of Financial Markets: Fibonacci numbers, Elliott waves, and
  solitons","In this paper information theoretical approach is applied to the description
of financial markets. A model which is expected to describe the markets
dynamics is presented. It is shown the possibility to describe market trend and
cycle dynamics from a unified viewpoint. The model predictions comparatively
well suit Fibonacci ratios and numbers used for the analysis of market price
and time projections. It proves possible to link time and price projections,
thus allowing increase the accuracy of predicting well in advance the moment of
trend termination. The model is tested against real data from the stock and
financial markets.",q-fin.ST,q-fin.ST,1,Statistical Finance,Statistical Finance,Inga Ivanova,Inga Ivanova,1,http://arxiv.org/pdf/1912.11216v1,http://arxiv.org/abs/1912.11216v1,2019-12-24
"Aggregating predictions from experts: a scoping review of statistical
  methods, experiments, and applications","Forecasts support decision making in a variety of applications. Statistical
models can produce accurate forecasts given abundant training data, but when
data is sparse, rapidly changing, or unavailable, statistical models may not be
able to make accurate predictions. Expert judgmental forecasts---models that
combine expert-generated predictions into a single forecast---can make
predictions when training data is limited by relying on expert intuition to
take the place of concrete training data. Researchers have proposed a wide
array of algorithms to combine expert predictions into a single forecast, but
there is no consensus on an optimal aggregation model. This scoping review
surveyed recent literature on aggregating expert-elicited predictions. We
gathered common terminology, aggregation methods, and forecasting performance
metrics, and offer guidance to strengthen future work that is growing at an
accelerated pace.",stat.AP,stat.AP,1,Applications,Applications,Nicholas G. Reich,"Thomas McAndrew, Nutcha Wattanachit, G. Casey Gibson, Nicholas G. Reich",4,http://arxiv.org/pdf/1912.11409v1,http://arxiv.org/abs/1912.11409v1,2019-12-24
