title,summary,primary_tag,tags,n_tags,primary_category,categories,author,authors,n_authors,url_pdf,url_href,date
The Counterfactual $χ$-GAN,"Causal inference often relies on the counterfactual framework, which requires
that treatment assignment is independent of the outcome, known as strong
ignorability. Approaches to enforcing strong ignorability in causal analyses of
observational data include weighting and matching methods. Effect estimates,
such as the average treatment effect (ATE), are then estimated as expectations
under the reweighted or matched distribution, P . The choice of P is important
and can impact the interpretation of the effect estimate and the variance of
effect estimates. In this work, instead of specifying P, we learn a
distribution that simultaneously maximizes coverage and minimizes variance of
ATE estimates. In order to learn this distribution, this research proposes a
generative adversarial network (GAN)-based model called the Counterfactual
$\chi$-GAN (cGAN), which also learns feature-balancing weights and supports
unbiased causal estimation in the absence of unobserved confounding. Our model
minimizes the Pearson $\chi^2$ divergence, which we show simultaneously
maximizes coverage and minimizes the variance of importance sampling estimates.
To our knowledge, this is the first such application of the Pearson $\chi^2$
divergence. We demonstrate the effectiveness of cGAN in achieving feature
balance relative to established weighting methods in simulation and with
real-world medical data.",cs.LG,"cs.LG, stat.ML",2,Machine Learning,"Machine Learning, Machine Learning",Adler J. Perotte,"Amelia J. Averitt, Natnicha Vanitchanant, Rajesh Ranganath, Adler J. Perotte",4,http://arxiv.org/pdf/2001.03115v1,http://arxiv.org/abs/2001.03115v1,2020-01-09
Open Challenge for Correcting Errors of Speech Recognition Systems,"The paper announces the new long-term challenge for improving the performance
of automatic speech recognition systems. The goal of the challenge is to
investigate methods of correcting the recognition results on the basis of
previously made errors by the speech processing system. The dataset prepared
for the task is described and evaluation criteria are presented.",cs.CL,"cs.CL, cs.AI",2,Computation and Language,"Computation and Language, Artificial Intelligence",Tomasz Ziętkiewicz,"Marek Kubis, Zygmunt Vetulani, Mikołaj Wypych, Tomasz Ziętkiewicz",4,http://arxiv.org/pdf/2001.03041v1,http://arxiv.org/abs/2001.03041v1,2020-01-09
Performance-Oriented Neural Architecture Search,"Hardware-Software Co-Design is a highly successful strategy for improving
performance of domain-specific computing systems. We argue for the application
of the same methodology to deep learning; specifically, we propose to extend
neural architecture search with information about the hardware to ensure that
the model designs produced are highly efficient in addition to the typical
criteria around accuracy. Using the task of keyword spotting in audio on edge
computing devices, we demonstrate that our approach results in neural
architecture that is not only highly accurate, but also efficiently mapped to
the computing platform which will perform the inference. Using our modified
neural architecture search, we demonstrate $0.88\%$ increase in TOP-1 accuracy
with $1.85\times$ reduction in latency for keyword spotting in audio on an
embedded SoC, and $1.59\times$ on a high-end GPU.",cs.LG,"cs.LG, cs.NE",2,Machine Learning,"Machine Learning, Neural and Evolutionary Computing",David Gregg,"Andrew Anderson, Jing Su, Rozenn Dahyot, David Gregg",4,http://arxiv.org/pdf/2001.02976v1,http://arxiv.org/abs/2001.02976v1,2020-01-09
"Closed-loop deep learning: generating forward models with
  back-propagation","A reflex is a simple closed loop control approach which tries to minimise an
error but fails to do so because it will always react too late. An adaptive
algorithm can use this error to learn a forward model with the help of
predictive cues. For example a driver learns to improve their steering by
looking ahead to avoid steering in the last minute. In order to process complex
cues such as the road ahead deep learning is a natural choice. However, this is
usually only achieved indirectly by employing deep reinforcement learning
having a discrete state space. Here, we show how this can be directly achieved
by embedding deep learning into a closed loop system and preserving its
continuous processing. We show specifically how error back-propagation can be
achieved in z-space and in general how gradient based approaches can be
analysed in such closed loop scenarios. The performance of this learning
paradigm is demonstrated using a line-follower both in simulation and on a real
robot that show very fast and continuous learning.",cs.LG,"cs.LG, cs.AI, cs.RO",3,Machine Learning,"Machine Learning, Artificial Intelligence, Robotics",Bernd Porr,"Sama Daryanavard, Bernd Porr",2,http://arxiv.org/pdf/2001.02970v1,http://arxiv.org/abs/2001.02970v1,2020-01-09
GRIDS: Interactive Layout Design with Integer Programming,"Grid layouts are used by designers to spatially organise user interfaces when
sketching and wireframing. However, their design is largely time consuming
manual work. This is challenging due to combinatorial explosion and complex
objectives, such as alignment, balance, and expectations regarding positions.
This paper proposes a novel optimisation approach for the generation of diverse
grid-based layouts. Our mixed integer linear programming (MILP) model offers a
rigorous yet efficient method for grid generation that ensures packing,
alignment, grouping, and preferential positioning of elements. Further, we
present techniques for interactive diversification, enhancement, and completion
of grid layouts (Figure 1). These capabilities are demonstrated using GRIDS1, a
wireframing tool that provides designers with real-time layout suggestions. We
report findings from a ratings study (N = 13) and a design study (N = 16),
lending evidence for the benefit of computational grid generation during early
stages of design.",cs.HC,"cs.HC, cs.AI, H.5.2",3,Human-Computer Interaction,"Human-Computer Interaction, Artificial Intelligence",Antti Oulasvirta,"Niraj Dayama, Kashyap Todi, Taru Saarelainen, Antti Oulasvirta",4,http://arxiv.org/pdf/2001.02921v1,http://arxiv.org/abs/2001.02921v1,2020-01-09
Conversational Search for Learning Technologies,"Conversational search is based on a user-system cooperation with the
objective to solve an information-seeking task. In this report, we discuss the
implication of such cooperation with the learning perspective from both user
and system side. We also focus on the stimulation of learning through a key
component of conversational search, namely the multimodality of communication
way, and discuss the implication in terms of information retrieval. We end with
a research road map describing promising research directions and perspectives.",cs.AI,"cs.IR, cs.HC, cs.AI",3,Artificial Intelligence,"Information Retrieval, Human-Computer Interaction, Artificial Intelligence",Laure Soulier,"Sharon Oviatt, Laure Soulier",2,http://arxiv.org/pdf/2001.02912v1,http://arxiv.org/abs/2001.02912v1,2020-01-09
Population-Guided Parallel Policy Search for Reinforcement Learning,"In this paper, a new population-guided parallel learning scheme is proposed
to enhance the performance of off-policy reinforcement learning (RL). In the
proposed scheme, multiple identical learners with their own value-functions and
policies share a common experience replay buffer, and search a good policy in
collaboration with the guidance of the best policy information. The key point
is that the information of the best policy is fused in a soft manner by
constructing an augmented loss function for policy update to enlarge the
overall search region by the multiple learners. The guidance by the previous
best policy and the enlarged range enable faster and better policy search.
Monotone improvement of the expected cumulative return by the proposed scheme
is proved theoretically. Working algorithms are constructed by applying the
proposed scheme to the twin delayed deep deterministic (TD3) policy gradient
algorithm. Numerical results show that the constructed algorithm outperforms
most of the current state-of-the-art RL algorithms, and the gain is significant
in the case of sparse reward environment.",cs.LG,"cs.LG, cs.AI, stat.ML",3,Machine Learning,"Machine Learning, Artificial Intelligence, Machine Learning",Youngchul Sung,"Whiyoung Jung, Giseung Park, Youngchul Sung",3,http://arxiv.org/pdf/2001.02907v1,http://arxiv.org/abs/2001.02907v1,2020-01-09
Supervised Hyperalignment for multi-subject fMRI data alignment,"Hyperalignment has been widely employed in Multivariate Pattern (MVP)
analysis to discover the cognitive states in the human brains based on
multi-subject functional Magnetic Resonance Imaging (fMRI) datasets. Most of
the existing HA methods utilized unsupervised approaches, where they only
maximized the correlation between the voxels with the same position in the time
series. However, these unsupervised solutions may not be optimum for handling
the functional alignment in the supervised MVP problems. This paper proposes a
Supervised Hyperalignment (SHA) method to ensure better functional alignment
for MVP analysis, where the proposed method provides a supervised shared space
that can maximize the correlation among the stimuli belonging to the same
category and minimize the correlation between distinct categories of stimuli.
Further, SHA employs a generalized optimization solution, which generates the
shared space and calculates the mapped features in a single iteration, hence
with optimum time and space complexities for large datasets. Experiments on
multi-subject datasets demonstrate that SHA method achieves up to 19% better
performance for multi-class problems over the state-of-the-art HA algorithms.",stat.ML,"q-bio.NC, cs.LG, stat.ML",3,Machine Learning,"Neurons and Cognition, Machine Learning, Machine Learning",Daoqiang Zhang,"Muhammad Yousefnezhad, Alessandro Selvitella, Liangxiu Han, Daoqiang Zhang",4,http://arxiv.org/pdf/2001.02894v1,http://arxiv.org/abs/2001.02894v1,2020-01-09
Probabilistic Reasoning across the Causal Hierarchy,"We propose a formalization of the three-tier causal hierarchy of association,
intervention, and counterfactuals as a series of probabilistic logical
languages. Our languages are of strictly increasing expressivity, the first
capable of expressing quantitative probabilistic reasoning---including
conditional independence and Bayesian inference---the second encoding
do-calculus reasoning for causal effects, and the third capturing a fully
expressive do-calculus for arbitrary counterfactual queries. We give a
corresponding series of finitary axiomatizations complete over both structural
causal models and probabilistic programs, and show that satisfiability and
validity for each language are decidable in polynomial space.",cs.LO,"cs.LO, cs.AI",2,Logic in Computer Science,"Logic in Computer Science, Artificial Intelligence",Thomas Icard,"Duligur Ibeling, Thomas Icard",2,http://arxiv.org/pdf/2001.02889v1,http://arxiv.org/abs/2001.02889v1,2020-01-09
The Neighbours' Similar Fitness Property for Local Search,"For most practical optimisation problems local search outperforms random
sampling - despite the ""No Free Lunch Theorem"". This paper introduces a
property of search landscapes termed Neighbours' Similar Fitness (NSF) that
underlies the good performance of neighbourhood search in terms of local
improvement. Though necessary, NSF is not sufficient to ensure that searching
for improvement among the neighbours of a good solution is better than random
search. The paper introduces an additional (natural) property which supports a
general proof that, for NSF landscapes, neighbourhood search beats random
search.",cs.AI,"cs.AI, cs.DM",2,Artificial Intelligence,"Artificial Intelligence, Discrete Mathematics",Aldeida Aleti,"Mark Wallace, Aldeida Aleti",2,http://arxiv.org/pdf/2001.02872v1,http://arxiv.org/abs/2001.02872v1,2020-01-09
